70,0.002266666666666639,0.009733333333333372,5174,5363
80,0.003466666666666618,0.04466666666666663,5734,4937
90,0.003066666666666662,0.01206666666666667,6339,5467
100,0.0033333333333332993,0.03286666666666671,6142,6173
60,0.004466666666666619,0.020199999999999996,4872,3447
70,0.002866666666666684,0.01959999999999995,5376,4856
80,0.0018666666666666831,0.01633333333333331,5512,5603
90,0.0018666666666666831,0.01859999999999995,5698,6263
100,0.0025333333333333874,0.016866666666666696,5848,6572
60,0.0026000000000000467,0.028666666666666618,5218,3510
70,0.0050000000000000044,0.02739999999999998,5384,3962
80,0.0033333333333332993,0.026800000000000046,5927,4758
90,0.0033333333333332993,0.021666666666666612,6200,5675
100,0.003666666666666707,0.01213333333333333,5984,6104
60,0.002466666666666617,0.019133333333333336,4830,4192
70,0.006800000000000028,0.018266666666666653,4904,5205
80,0.002866666666666684,0.03520000000000001,5441,5482
90,0.0038000000000000256,0.036800000000000055,5680,6182
100,0.0031333333333333213,0.019133333333333336,5364,4216
60,0.004266666666666641,0.03313333333333335,4605,2356
70,0.00653333333333328,0.025933333333333364,4958,3197
80,0.005066666666666664,0.031000000000000028,5202,3387
90,0.004066666666666663,0.010533333333333283,5386,3942
100,0.0030000000000000027,0.012666666666666715,5393,4695
150,0.0021999999999999797,0.02193333333333336,7320,9493
200,0.0023999999999999577,0.009333333333333305,7613,16320
250,0.002666666666666706,0.013466666666666627,7227,17983
300,0.00326666666666664,0.00773333333333337,9551,22415
350,0.002466666666666617,0.007333333333333303,8890,31494
400,0.0021333333333333204,0.00539999999999996,8819,37153
450,0.00326666666666664,0.007800000000000029,9059,40108
500,0.0029333333333333433,0.00653333333333328,11160,40867
150,0.004266666666666641,0.01733333333333331,8400,11564
200,0.0029333333333333433,0.013866666666666694,7767,15024
250,0.0027333333333333654,0.00886666666666669,7553,21148
300,0.0023999999999999577,0.010733333333333372,9478,26507
350,0.00326666666666664,0.00653333333333328,8198,31642
400,0.002466666666666617,0.0041999999999999815,8824,37217
450,0.0029333333333333433,0.005333333333333301,9117,40374
500,0.0028000000000000247,0.006000000000000005,8792,42238
150,0.0013333333333332975,0.008000000000000007,8099,10669
200,0.0016000000000000458,0.010399999999999965,6909,15867
250,0.0019333333333333425,0.005199999999999982,8018,22583
300,0.0021999999999999797,0.006066666666666665,7954,24175
350,0.002866666666666684,0.006000000000000005,9173,30393
400,0.0018000000000000238,0.006466666666666621,8641,37517
450,0.0031333333333333213,0.006933333333333347,9878,37773
500,0.0028000000000000247,0.004666666666666708,10244,40392
150,0.005066666666666664,0.020666666666666722,6199,9963
200,0.0026000000000000467,0.009199999999999986,6539,13780
250,0.003933333333333344,0.00539999999999996,7459,12336
300,0.0028000000000000247,0.008266666666666644,7128,17949
350,0.0035333333333333883,0.005866666666666687,7348,23174
400,0.003066666666666662,0.009266666666666645,7106,27508
450,0.002466666666666617,0.005266666666666642,7366,29102
500,0.003466666666666618,0.0046000000000000485,8520,33310
150,0.002666666666666706,0.018266666666666653,6206,8975
200,0.0023333333333332984,0.00773333333333337,6430,9953
250,0.0015333333333333865,0.0072666666666666435,7171,17846
