W: 60, PAA: 7, A: 8, S: noreduction
500,0.0017333333333333645,0.0043333333333333,155925,54662
600,0.0018666666666666831,0.0023333333333332984,156363,66062
700,0.0015333333333333865,0.0037333333333333663,157177,78961
800,0.0021333333333333204,0.005133333333333323,188570,79815
900,0.0026000000000000467,0.0040000000000000036,192096,111311
1000,0.0016000000000000458,0.0023999999999999577,209154,121285
10,0.10526666666666662,0.399,40158,1200
20,0.025866666666666704,0.07286666666666664,47430,1934
30,0.00666666666666671,0.02846666666666664,52025,3233
40,0.010600000000000054,0.1031333333333333,54599,4441
50,0.007133333333333325,0.048933333333333384,61818,5535
100,0.0035333333333333883,0.010133333333333328,78448,8335
150,0.0026000000000000467,0.011133333333333328,72145,16016
200,0.0017333333333333645,0.013866666666666694,98979,20551
250,0.0015333333333333865,0.00880000000000003,120750,24795
300,8.000000000000229E-4,0.00653333333333328,131019,30554
350,0.0012666666666666382,0.007399999999999962,150455,32334
400,0.0011999999999999789,0.006266666666666643,142812,44997
450,0.0019333333333333425,0.0048000000000000265,145627,54407
500,0.0010666666666666602,0.004666666666666708,141200,49465
500,0.0011999999999999789,0.0043333333333333,156455,56089
600,0.0012666666666666382,0.0043999999999999595,160375,75185
700,0.0010666666666666602,0.0031999999999999806,179702,80702
800,0.0016666666666667052,0.002666666666666706,228484,98764
900,0.0020000000000000018,0.0016666666666667052,221370,106506
1000,0.0011999999999999789,0.0033333333333332993,211942,121988
10,0.015133333333333332,0.1548666666666667,41621,1186
20,0.018866666666666698,0.04573333333333329,43371,2410
30,0.00773333333333337,0.11160000000000003,51758,2948
40,0.0076666666666667105,0.0490666666666667,55456,5073
50,0.0037333333333333663,0.04053333333333331,62153,4948
100,0.0031333333333333213,0.021266666666666656,84216,9500
150,0.0038000000000000256,0.010866666666666691,110631,15745
200,0.0019333333333333425,0.004933333333333345,117158,20417
250,0.002266666666666639,0.006933333333333347,110341,26953
300,0.0017333333333333645,0.006133333333333324,137396,30484
350,0.002266666666666639,0.008000000000000007,140596,36327
400,0.0036000000000000476,0.013733333333333375,141202,46060
450,0.0018000000000000238,0.004133333333333322,155031,47555
500,0.0018666666666666831,0.0043999999999999595,162768,51919
500,0.0023333333333332984,0.004133333333333322,162207,56046
600,0.0029333333333333433,0.006399999999999961,144381,74519
700,0.0019333333333333425,0.0036000000000000476,171617,86623
800,0.0016666666666667052,0.0031333333333333213,199854,98620
900,0.0025333333333333874,0.003666666666666707,202725,114549
1000,0.0018666666666666831,0.002866666666666684,189528,128249
10,0.04400000000000004,0.13506666666666667,40199,1056
20,0.01853333333333329,0.13513333333333333,44157,2076
30,0.0070666666666666655,0.05826666666666669,53308,3801
40,0.010866666666666691,0.04373333333333329,56658,4476
50,0.006266666666666643,0.05740000000000001,60000,4246
100,0.002866666666666684,0.028200000000000003,95303,9877
150,0.0036000000000000476,0.007533333333333281,88355,17382
200,0.0013333333333332975,0.014666666666666717,133235,22041
250,8.000000000000229E-4,0.00653333333333328,126417,28782
300,0.0017333333333333645,0.007333333333333303,118559,33532
350,0.0014666666666666162,0.005933333333333346,122039,36506
400,0.0010666666666666602,0.004066666666666663,132244,43498
450,0.0010000000000000009,0.004266666666666641,139038,49676
500,8.666666666666822E-4,0.0033999999999999586,144030,52051
500,9.333333333333416E-4,0.00326666666666664,157620,58070
600,6.000000000000449E-4,0.0040000000000000036,162781,72545
700,7.333333333333636E-4,0.0041999999999999815,169733,81650
800,0.0018000000000000238,0.005133333333333323,187519,88985
900,7.333333333333636E-4,0.002266666666666639,204037,108232
1000,0.0010000000000000009,0.002866666666666684,190099,125070
10,0.031133333333333346,0.21340000000000003,39457,988
20,0.016599999999999948,0.09233333333333338,44250,1768
30,0.014466666666666628,0.04613333333333336,47160,2695
40,0.006399999999999961,0.030200000000000005,50569,3891
50,0.0050000000000000044,0.05706666666666671,60639,4915
100,0.002666666666666706,0.02180000000000004,103780,10005
150,0.0019333333333333425,0.011866666666666692,82121,16053
200,0.0023999999999999577,0.005199999999999982,108457,19748
250,0.0020000000000000018,0.009000000000000008,122032,26766
300,0.0025333333333333874,0.005333333333333301,143356,35502
350,0.0021333333333333204,0.010000000000000009,126994,34509
400,0.0017333333333333645,0.005733333333333368,138738,37848
450,0.003066666666666662,0.004133333333333322,132688,47350
500,0.0018000000000000238,0.0038000000000000256,170856,48740
500,0.002266666666666639,0.005266666666666642,160544,53714
600,0.0012666666666666382,0.002466666666666617,157031,64298
700,0.0016666666666667052,0.006199999999999983,170243,78345
800,0.002866666666666684,0.006733333333333369,179395,92268
900,9.333333333333416E-4,0.003066666666666662,194134,99977
1000,0.0010666666666666602,0.0026000000000000467,195090,104724
10,0.025666666666666615,0.1442,42428,1100
20,0.01526666666666665,0.05779999999999996,45413,2212
30,0.018199999999999994,0.04966666666666664,48057,2747
40,0.011600000000000055,0.08266666666666667,46688,3839
50,0.00773333333333337,0.060733333333333306,55274,5272
100,0.0023333333333332984,0.01626666666666665,72196,10630
150,0.002066666666666661,0.013266666666666649,99656,14817
200,0.003933333333333344,0.010399999999999965,117101,17422
250,0.002466666666666617,0.010533333333333283,91376,23430
300,0.0014666666666666162,0.005800000000000027,111113,34487
350,0.0021999999999999797,0.005533333333333279,141823,42000
400,0.0017333333333333645,0.007133333333333325,119950,39823
450,0.0016666666666667052,0.0050000000000000044,150528,47514
500,0.0016666666666667052,0.008000000000000007,143372,53605
500,0.0017333333333333645,0.005333333333333301,150821,52233
600,9.333333333333416E-4,0.0040000000000000036,201603,60377
700,0.0023333333333332984,0.0033333333333332993,176429,78011
800,0.0014666666666666162,0.004133333333333322,182947,79711
900,0.0014666666666666162,0.0029333333333333433,191803,97800
1000,0.0011999999999999789,0.0025333333333333874,188035,112745
10,0.08760000000000001,0.10573333333333335,39838,857
20,0.010333333333333306,0.08566666666666667,46749,2213
30,0.012466666666666626,0.07299999999999995,52320,3014
40,0.010333333333333306,0.04600000000000004,55931,4009
50,0.004733333333333367,0.036666666666666625,47714,5441
100,0.004533333333333278,0.020000000000000018,71699,9188
150,0.0033333333333332993,0.018199999999999994,85920,14802
200,0.0014666666666666162,0.004866666666666686,107451,18353
250,0.0013333333333332975,0.007133333333333325,108465,24242
300,0.0027333333333333654,0.010733333333333372,150133,27764
350,0.0015333333333333865,0.007600000000000051,141719,33645
400,0.0010666666666666602,0.00326666666666664,132057,38052
450,0.0012666666666666382,0.005199999999999982,138833,40010
500,0.0019333333333333425,0.005666666666666709,133417,45698
500,0.0016666666666667052,0.0046000000000000485,153968,48834
600,0.0011999999999999789,0.0043999999999999595,161175,62306
700,0.0010666666666666602,0.0043999999999999595,168471,72341
800,0.0010000000000000009,0.0029333333333333433,183390,79929
900,8.666666666666822E-4,0.0033333333333332993,173262,96483
1000,9.333333333333416E-4,0.0021333333333333204,189337,94111
10,0.07113333333333338,0.11160000000000003,37439,791
20,0.008533333333333282,0.07986666666666664,42170,1950
30,0.009600000000000053,0.07606666666666662,49561,2721
40,0.006933333333333347,0.04466666666666663,49225,2971
50,0.014733333333333376,0.05233333333333334,62908,5581
100,0.0025333333333333874,0.019466666666666632,61308,9932
150,0.0020000000000000018,0.01313333333333333,81439,13477
200,0.002066666666666661,0.007333333333333303,104800,18270
250,0.0016666666666667052,0.006266666666666643,118911,24474
300,0.0015333333333333865,0.006800000000000028,117140,28357
350,0.0021999999999999797,0.005866666666666687,103530,30660
400,0.0016666666666667052,0.004533333333333278,131598,38907
450,0.0015333333333333865,0.0027333333333333654,136900,40104
500,0.002666666666666706,0.0031999999999999806,146406,52061
500,0.0021999999999999797,0.005133333333333323,156792,47654
600,0.0016000000000000458,0.002466666666666617,170279,54869
700,0.0018666666666666831,0.0029333333333333433,185930,78290
800,0.002666666666666706,0.0040000000000000036,194612,87191
900,0.0016000000000000458,0.0026000000000000467,187123,88193
1000,0.0015333333333333865,0.0031999999999999806,187189,98560
10,0.04793333333333338,0.3648666666666667,36772,975
20,0.011066666666666669,0.15266666666666662,41989,1836
30,0.012733333333333374,0.0527333333333333,43250,2741
40,0.008466666666666622,0.03359999999999996,52508,4211
50,0.004866666666666686,0.033466666666666645,60831,4192
100,0.003066666666666662,0.03073333333333328,65888,8687
150,0.00326666666666664,0.016800000000000037,79044,12462
200,0.002066666666666661,0.007933333333333348,97653,16658
250,0.002666666666666706,0.012800000000000034,112817,22225
300,0.0016000000000000458,0.010666666666666713,120045,26569
350,0.0021333333333333204,0.010733333333333372,158214,28738
400,0.0014666666666666162,0.0037333333333333663,153511,38791
450,0.0010666666666666602,0.006466666666666621,128537,38986
500,0.002066666666666661,0.005533333333333279,125430,49918
500,0.0011999999999999789,0.004733333333333367,152352,45184
600,9.333333333333416E-4,0.00326666666666664,136591,61356
700,0.0011333333333333195,0.0020000000000000018,154103,66381
800,9.333333333333416E-4,0.0038000000000000256,133710,67471
900,0.0010666666666666602,0.0033999999999999586,173322,89008
1000,0.0027333333333333654,0.0031999999999999806,185484,100286
10,0.023266666666666658,0.22793333333333332,37981,988
20,0.04720000000000002,0.06940000000000002,45866,2040
30,0.014333333333333309,0.05393333333333339,50502,2804
40,0.008666666666666711,0.053266666666666684,51753,3978
50,0.003666666666666707,0.0262,57778,4883
100,0.0050000000000000044,0.02400000000000002,77391,8024
150,0.0018666666666666831,0.011666666666666714,81268,13035
200,0.0033999999999999586,0.009666666666666712,90298,20292
250,0.0031999999999999806,0.014800000000000035,121819,23499
300,0.0025333333333333874,0.006866666666666688,104688,26853
350,0.0025333333333333874,0.005933333333333346,113689,28599
400,0.0021999999999999797,0.005666666666666709,132988,31387
450,0.0021999999999999797,0.0033999999999999586,113417,41553
500,0.0017333333333333645,0.002666666666666706,152790,50734
500,0.0027333333333333654,0.0070666666666666655,121082,48515
600,0.0021333333333333204,0.004733333333333367,151787,50740
700,0.0020000000000000018,0.005533333333333279,185913,69659
800,0.0021333333333333204,0.003666666666666707,173476,78633
900,0.0025333333333333874,0.003866666666666685,187573,91498
1000,0.002466666666666617,0.0025333333333333874,174921,89250
