W: 60, PAA: 7, A: 8, S: exact
700,0.0015333333333333865,0.0036000000000000476,174217,91221
800,0.0017333333333333645,0.0026000000000000467,180938,83889
900,0.0013333333333332975,0.0036000000000000476,185416,95331
1000,0.0014666666666666162,0.0033333333333332993,193833,101449
10,0.01666666666666672,0.1166666666666667,41331,1056
20,0.01773333333333338,0.1048,47512,2035
30,0.005199999999999982,0.10340000000000005,50614,3008
40,0.00660000000000005,0.04286666666666672,58253,3969
50,0.0033999999999999586,0.02093333333333336,60982,4907
100,0.003066666666666662,0.019066666666666676,74192,9322
150,0.0031333333333333213,0.012866666666666693,94212,14921
200,0.0018000000000000238,0.01533333333333331,94668,19551
250,0.0028000000000000247,0.010733333333333372,105532,26189
300,0.0023333333333332984,0.004266666666666641,116729,29955
350,0.0016000000000000458,0.00539999999999996,126301,35647
400,0.0018666666666666831,0.005533333333333279,141291,38400
450,0.0025333333333333874,0.005666666666666709,120480,42009
500,0.0015333333333333865,0.004933333333333345,124811,51314
500,0.0018000000000000238,0.005800000000000027,149175,51055
600,0.0017333333333333645,0.0043999999999999595,154179,57185
700,0.0015333333333333865,0.0026000000000000467,183980,71123
800,0.0018666666666666831,0.0033999999999999586,157885,100211
900,0.0015333333333333865,0.0026000000000000467,165630,98734
1000,0.0023999999999999577,0.0015333333333333865,181907,109762
10,0.020066666666666677,0.14373333333333338,40173,932
20,0.024666666666666615,0.08466666666666667,43438,2282
30,0.006800000000000028,0.06359999999999999,49809,3216
40,0.005066666666666664,0.03500000000000003,52027,3373
50,0.0017333333333333645,0.04953333333333332,60540,5112
100,0.0013999999999999568,0.025666666666666615,85598,9672
150,0.003066666666666662,0.018000000000000016,100142,14152
200,0.002466666666666617,0.007199999999999984,94278,18020
250,0.0010666666666666602,0.007533333333333281,73803,26067
300,0.0015333333333333865,0.008000000000000007,127751,26250
350,0.002666666666666706,0.00653333333333328,134739,33951
400,0.0023999999999999577,0.007533333333333281,182537,34931
450,0.0018000000000000238,0.0040000000000000036,186092,37768
500,0.0012666666666666382,0.005266666666666642,142105,49041
500,0.0013999999999999568,0.0023333333333332984,148280,44111
600,0.0017333333333333645,0.0048000000000000265,146649,52634
700,0.0018000000000000238,0.0033333333333332993,140131,74828
800,0.0017333333333333645,0.003666666666666707,132688,75101
900,0.0018000000000000238,0.002666666666666706,170872,89669
1000,0.0015333333333333865,0.0037333333333333663,185554,87192
10,0.056533333333333324,0.24260000000000004,35914,804
20,0.008000000000000007,0.11119999999999997,38042,1245
30,0.009666666666666712,0.10806666666666664,46500,3006
40,0.006466666666666621,0.025533333333333297,61499,3317
50,0.004133333333333322,0.07940000000000003,58913,3924
100,0.0033999999999999586,0.01973333333333338,76383,8979
150,0.0017333333333333645,0.013266666666666649,95859,12447
200,0.002666666666666706,0.006466666666666621,95873,22104
250,0.0028000000000000247,0.007133333333333325,113430,24873
300,9.333333333333416E-4,0.005600000000000049,122219,25728
350,0.0017333333333333645,0.009199999999999986,128956,33775
400,0.0013999999999999568,0.006466666666666621,124467,31464
450,0.0018000000000000238,0.005733333333333368,158075,42917
500,0.0013333333333332975,0.004533333333333278,143058,45552
500,0.0013333333333332975,0.003866666666666685,144898,45980
600,6.666666666667043E-4,0.002866666666666684,131309,50762
700,0.0020000000000000018,0.0035333333333333883,175223,64945
800,0.0011999999999999789,0.0038000000000000256,171844,76067
900,0.002266666666666639,0.004933333333333345,147156,83357
1000,0.0027333333333333654,0.0040000000000000036,161876,104672
10,0.023466666666666636,0.12186666666666668,36488,840
20,0.011066666666666669,0.09293333333333331,44429,1477
30,0.006266666666666643,0.05300000000000005,43317,2748
40,0.007000000000000006,0.04259999999999997,41573,3387
50,0.005133333333333323,0.07240000000000002,46354,5338
100,0.0019333333333333425,0.02059999999999995,70485,8083
150,0.0048000000000000265,0.01526666666666665,81004,13326
200,0.004266666666666641,0.015199999999999991,96284,14641
250,0.00326666666666664,0.006199999999999983,92676,17470
300,0.002466666666666617,0.0076666666666667105,91397,21599
350,0.0029333333333333433,0.005800000000000027,136918,24592
400,0.0033333333333332993,0.005866666666666687,127536,35138
450,0.002666666666666706,0.005266666666666642,102404,35171
500,0.0020000000000000018,0.005600000000000049,137716,41181
500,0.0023333333333332984,0.0048000000000000265,183233,40250
600,0.0031333333333333213,0.005066666666666664,156703,57822
700,0.0019333333333333425,0.0033333333333332993,125865,82148
800,0.0021333333333333204,0.002266666666666639,207555,88024
900,0.0012666666666666382,0.005066666666666664,195783,77695
1000,0.0018000000000000238,0.002466666666666617,166476,87819
