W: 60, PAA: 7, A: 7, S: classic
10,0.2129333333333333,0.16046666666666665,34899,1192
20,0.15000000000000002,0.13546666666666662,37847,2318
30,0.12826666666666664,0.0732666666666667,38958,3229
40,0.09733333333333338,0.041066666666666696,39531,5145
50,0.09866666666666668,0.028066666666666684,40879,4712
100,0.057666666666666644,0.020333333333333314,48321,10430
150,0.0275333333333333,0.00773333333333337,54919,14758
200,0.025533333333333297,0.010000000000000009,55823,20925
250,0.01993333333333336,0.012199999999999989,54630,25711
300,0.013333333333333308,0.008333333333333304,56155,29702
350,0.010466666666666624,0.012466666666666626,55539,34169
400,0.010266666666666646,0.0029333333333333433,64629,40398
450,0.011333333333333306,0.003933333333333344,75166,46416
500,0.008466666666666622,0.0038000000000000256,71733,59505
500,0.008666666666666711,0.00666666666666671,68625,60473
600,0.006800000000000028,0.0050000000000000044,66912,69394
700,0.0076666666666667105,0.0038000000000000256,77320,82102
800,0.00653333333333328,0.002866666666666684,97033,96031
900,0.00653333333333328,0.004466666666666619,90652,109147
1000,0.007333333333333303,0.003666666666666707,97497,112215
10,0.19966666666666666,0.16920000000000002,33850,732
20,0.20853333333333335,0.03966666666666663,36795,1663
30,0.12680000000000002,0.032466666666666644,38274,2918
40,0.09799999999999998,0.023800000000000043,39855,3968
50,0.16533333333333333,0.035666666666666624,41727,5478
100,0.04179999999999995,0.016066666666666674,43329,9953
150,0.02506666666666668,0.013066666666666671,48036,14873
200,0.015933333333333355,0.006399999999999961,56870,19432
250,0.014399999999999968,0.007399999999999962,72705,29128
300,0.014733333333333376,0.0043333333333333,65539,32365
350,0.013599999999999945,0.010266666666666646,65648,43786
400,0.009800000000000031,0.004533333333333278,71933,40808
450,0.009000000000000008,0.004733333333333367,66386,49645
500,0.01093333333333335,0.0029333333333333433,66402,56465
500,0.009733333333333372,0.0025333333333333874,70071,56116
600,0.009399999999999964,0.0027333333333333654,75381,70449
700,0.007600000000000051,0.0036000000000000476,90768,78295
800,0.008466666666666622,0.004866666666666686,89061,96961
900,0.0074666666666666215,0.0036000000000000476,89351,110597
1000,0.0074666666666666215,0.0033333333333332993,104408,119570
10,0.24693333333333334,0.137,35704,1065
20,0.1989333333333333,0.11619999999999997,37679,2408
30,0.11560000000000004,0.08666666666666667,37856,2795
40,0.11253333333333337,0.030466666666666642,40221,4493
50,0.10946666666666671,0.040200000000000014,41743,5020
100,0.060933333333333284,0.01733333333333331,44769,10266
150,0.036866666666666714,0.022533333333333294,50935,15688
200,0.021533333333333293,0.009000000000000008,56631,21377
250,0.02093333333333336,0.006866666666666688,66308,27716
300,0.01666666666666672,0.007133333333333325,63223,31340
350,0.01526666666666665,0.006399999999999961,67455,38399
400,0.010733333333333372,0.0041999999999999815,70725,41434
450,0.01093333333333335,0.0033999999999999586,69885,53723
500,0.009333333333333305,0.005933333333333346,71099,60747
500,0.010733333333333372,0.004666666666666708,69334,52088
600,0.012466666666666626,0.003466666666666618,71024,70249
700,0.00993333333333335,0.004933333333333345,83800,81087
800,0.0074666666666666215,0.0033333333333332993,77566,91000
900,0.008600000000000052,0.0038000000000000256,107194,106434
1000,0.006000000000000005,0.0026000000000000467,99639,114962
10,0.2867333333333333,0.18693333333333328,34198,836
20,0.1708666666666666,0.05920000000000003,37954,2027
30,0.15300000000000002,0.07733333333333337,36402,2461
40,0.09966666666666668,0.062133333333333374,38922,4223
50,0.10419999999999996,0.02193333333333336,39951,5612
100,0.0460666666666667,0.024399999999999977,43756,10309
150,0.029200000000000004,0.009333333333333305,59001,17915
200,0.02859999999999996,0.008000000000000007,52172,20863
250,0.015666666666666718,0.00873333333333337,58880,27854
300,0.014733333333333376,0.005800000000000027,59359,28067
350,0.013666666666666716,0.003933333333333344,66579,34112
400,0.012333333333333307,0.0018666666666666831,64780,42611
450,0.009600000000000053,0.00539999999999996,66652,50929
500,0.011866666666666692,0.0035333333333333883,79658,48217
500,0.009533333333333283,0.006866666666666688,70470,56258
600,0.008600000000000052,0.0033333333333332993,76022,67168
700,0.009000000000000008,0.0048000000000000265,93930,81490
800,0.007333333333333303,0.0027333333333333654,91153,104133
900,0.008000000000000007,0.002666666666666706,97871,111079
1000,0.00653333333333328,0.0033333333333332993,109084,118570
10,0.2308,0.09886666666666666,35823,1053
20,0.18946666666666667,0.12206666666666666,37066,2127
30,0.1847333333333333,0.3040666666666667,36848,2849
40,0.11399999999999999,0.0816,40031,3668
50,0.08806666666666663,0.04359999999999997,44037,5177
100,0.04800000000000004,0.02080000000000004,43996,12098
150,0.019066666666666676,0.017000000000000015,54588,14663
200,0.022800000000000042,0.014866666666666695,54719,22089
250,0.01639999999999997,0.009399999999999964,57757,25974
300,0.014733333333333376,0.012599999999999945,69973,34069
350,0.013333333333333308,0.0043333333333333,61706,35227
400,0.010866666666666691,0.005800000000000027,75191,41037
450,0.01200000000000001,0.0033333333333332993,60096,50111
500,0.009066666666666667,0.004466666666666619,65998,56448
500,0.009333333333333305,0.003866666666666685,86503,53596
600,0.010199999999999987,0.004533333333333278,89195,65564
700,0.008533333333333282,0.003666666666666707,90058,84401
800,0.0072666666666666435,0.0035333333333333883,93244,89087
900,0.008000000000000007,0.004666666666666708,98763,103633
1000,0.006266666666666643,0.0031333333333333213,87037,117601
10,0.2059333333333333,0.19699999999999995,35357,1155
20,0.1448666666666667,0.08720000000000006,36215,1816
30,0.13846666666666663,0.0729333333333333,38967,2944
40,0.13959999999999995,0.03866666666666663,38866,3783
50,0.10293333333333332,0.02946666666666664,41678,4747
100,0.05726666666666669,0.015933333333333355,48202,10297
150,0.03473333333333328,0.007333333333333303,51942,16628
200,0.023866666666666703,0.009266666666666645,50740,19842
250,0.018266666666666653,0.014800000000000035,58017,26078
300,0.015933333333333355,0.008399999999999963,66105,30535
350,0.015800000000000036,0.0076666666666667105,69300,36189
400,0.012733333333333374,0.0076666666666667105,61868,46142
450,0.00986666666666669,0.004533333333333278,64849,48453
500,0.009199999999999986,0.0040000000000000036,76739,53993
500,0.010533333333333283,0.005199999999999982,78142,53654
600,0.009266666666666645,0.0026000000000000467,77177,67934
700,0.007866666666666688,0.004466666666666619,74048,81939
800,0.007933333333333348,0.002866666666666684,85108,92056
900,0.007600000000000051,0.002466666666666617,93231,107161
1000,0.006733333333333369,0.0031999999999999806,81977,111248
10,0.20879999999999999,0.08020000000000005,34851,984
20,0.23993333333333333,0.09086666666666665,36109,1969
30,0.13146666666666662,0.07699999999999996,37620,2877
40,0.11626666666666663,0.039933333333333376,38672,3806
50,0.09426666666666672,0.054400000000000004,41107,4416
100,0.04493333333333338,0.02073333333333338,45911,9666
150,0.034399999999999986,0.011600000000000055,49999,14672
200,0.025599999999999956,0.012199999999999989,51886,20200
250,0.018066666666666675,0.010733333333333372,57753,24827
300,0.014000000000000012,0.0043999999999999595,63699,31948
350,0.015533333333333288,0.007800000000000029,51608,35824
400,0.013933333333333353,0.004866666666666686,67191,42616
450,0.011333333333333306,0.005933333333333346,62283,42270
500,0.014000000000000012,0.004133333333333322,64642,52872
500,0.007866666666666688,0.0040000000000000036,82431,50479
600,0.008399999999999963,0.0029333333333333433,72636,64376
700,0.007199999999999984,0.004933333333333345,77756,81533
800,0.006933333333333347,0.0033333333333332993,72324,87647
900,0.007933333333333348,0.0037333333333333663,82030,92720
1000,0.006933333333333347,0.0030000000000000027,83149,119807
10,0.28833333333333333,0.15593333333333337,34687,1116
20,0.1929333333333333,0.10833333333333328,36919,2073
30,0.18179999999999996,0.08360000000000001,37297,2991
40,0.12486666666666668,0.03653333333333331,39185,3830
50,0.09633333333333338,0.06473333333333331,42333,4568
100,0.046533333333333315,0.021333333333333315,44211,11113
150,0.042133333333333356,0.005866666666666687,51568,15611
200,0.024533333333333296,0.013733333333333375,62963,20825
250,0.020000000000000018,0.006266666666666643,57566,24321
300,0.015000000000000013,0.007533333333333281,57206,27585
350,0.013333333333333308,0.006266666666666643,56121,39025
400,0.011866666666666692,0.0076666666666667105,74120,45108
450,0.012399999999999967,0.002866666666666684,77346,50125
500,0.012266666666666648,0.004933333333333345,68072,58990
500,0.010066666666666668,0.00546666666666662,66075,52309
600,0.010333333333333306,0.003466666666666618,84607,67517
700,0.009333333333333305,0.002266666666666639,81708,75385
800,0.009000000000000008,0.0014666666666666162,89939,87835
900,0.005933333333333346,0.0027333333333333654,85817,95297
1000,0.008066666666666666,0.0033333333333332993,80228,112129
10,0.24153333333333338,0.1382,34861,749
20,0.17513333333333336,0.1738666666666666,36285,1957
30,0.13493333333333335,0.036933333333333374,38039,3030
40,0.11186666666666667,0.028000000000000025,38362,4243
50,0.13453333333333328,0.04466666666666663,39611,4619
100,0.05940000000000001,0.01539999999999997,43936,11125
150,0.027866666666666706,0.01766666666666672,48941,15163
200,0.018399999999999972,0.007333333333333303,53915,20885
250,0.020066666666666677,0.01639999999999997,56966,27051
300,0.015066666666666673,0.007933333333333348,55199,28258
350,0.016933333333333356,0.0050000000000000044,54384,33690
400,0.012266666666666648,0.0050000000000000044,62590,43692
450,0.010800000000000032,0.005266666666666642,71345,40936
500,0.010399999999999965,0.00653333333333328,75363,50476
500,0.011666666666666714,0.005066666666666664,63619,51925
600,0.010000000000000009,0.005933333333333346,70403,66967
700,0.009666666666666712,0.0043333333333333,73386,75747
800,0.008066666666666666,0.005933333333333346,86142,84088
900,0.007000000000000006,0.0015333333333333865,90715,100397
1000,0.006800000000000028,0.0037333333333333663,86574,122990
