W: 60, PAA: 7, A: 8, S: classic
600,0.00986666666666669,0.004133333333333322,62556,44545
700,0.008666666666666711,0.0030000000000000027,67941,59362
800,0.0076666666666667105,0.004066666666666663,72167,64211
900,0.008533333333333282,0.004066666666666663,77037,76782
1000,0.0072666666666666435,0.0040000000000000036,83518,79871
10,0.2745333333333333,0.127,32795,837
20,0.17366666666666664,0.15000000000000002,33693,1529
30,0.17786666666666662,0.039000000000000035,34381,2344
40,0.1907333333333333,0.035733333333333284,35411,3090
50,0.11266666666666669,0.06566666666666665,35746,3769
100,0.059733333333333305,0.02180000000000004,39133,7276
150,0.034599999999999964,0.017199999999999993,42005,10788
200,0.03259999999999996,0.007333333333333303,44650,15685
250,0.022133333333333338,0.008333333333333304,50578,19757
300,0.017800000000000038,0.0048000000000000265,46882,20768
350,0.015666666666666718,0.00993333333333335,53013,25663
400,0.014866666666666695,0.00773333333333337,51510,31026
450,0.015866666666666696,0.009199999999999986,60252,35113
500,0.011266666666666647,0.0033999999999999586,55896,39597
500,0.013733333333333375,0.006399999999999961,70385,39938
600,0.010800000000000032,0.005333333333333301,70076,48695
700,0.009733333333333372,0.0023999999999999577,68873,54119
800,0.008600000000000052,0.0043999999999999595,75965,59971
900,0.00873333333333337,0.0033999999999999586,80063,73805
1000,0.007133333333333325,0.002066666666666661,72319,82108
10,0.21386666666666665,0.22993333333333332,32058,781
20,0.20606666666666662,0.11333333333333329,33462,1533
30,0.1552,0.06506666666666672,35545,2326
40,0.13246666666666662,0.024733333333333385,37670,3465
50,0.08513333333333328,0.03913333333333335,37713,3764
100,0.053333333333333344,0.01653333333333329,40375,8003
150,0.03526666666666667,0.02059999999999995,41815,10901
200,0.030333333333333323,0.006399999999999961,47616,15550
250,0.02513333333333334,0.008066666666666666,47017,20288
300,0.01533333333333331,0.008000000000000007,48833,24676
350,0.013399999999999967,0.0037333333333333663,51431,26770
400,0.015133333333333332,0.0048000000000000265,54547,32281
450,0.011933333333333351,0.006333333333333302,58395,33039
500,0.010199999999999987,0.0072666666666666435,60309,39873
500,0.011600000000000055,0.005266666666666642,58660,40275
600,0.009600000000000053,0.0050000000000000044,63043,48525
700,0.008199999999999985,0.004133333333333322,72543,57123
800,0.0074666666666666215,0.003666666666666707,76171,62177
900,0.007333333333333303,0.0030000000000000027,89501,77093
1000,0.007800000000000029,0.0020000000000000018,76094,83753
10,0.21819999999999995,0.10306666666666664,32644,804
20,0.15493333333333337,0.09486666666666665,33069,1547
30,0.1402,0.08453333333333335,34090,2209
40,0.11786666666666668,0.04033333333333333,34723,3011
50,0.119,0.022199999999999998,36072,3897
